Season,Date,team
2012,"Wednesday, August 01, 2012",ARI
2012,"Thursday, August 02, 2012",ARI
2012,"Friday, August 03, 2012",ARI
2012,"Saturday, August 04, 2012",ARI
2012,"Sunday, August 05, 2012",ARI
2012,"Monday, August 06, 2012",ARI
2012,"Tuesday, August 07, 2012",ARI
2012,"Wednesday, August 08, 2012",ARI
2012,"Thursday, August 09, 2012",ARI
2012,"Friday, August 10, 2012",ARI
2012,"Saturday, August 11, 2012",ARI
2012,"Sunday, August 12, 2012",ARI
2012,"Monday, August 13, 2012",ARI
2012,"Tuesday, August 14, 2012",ARI
2012,"Wednesday, August 15, 2012",ARI
2012,"Thursday, August 16, 2012",ARI
2012,"Friday, August 17, 2012",ARI
2012,"Saturday, August 18, 2012",ARI
2012,"Sunday, August 19, 2012",ARI
2012,"Monday, August 20, 2012",ARI
2012,"Tuesday, August 21, 2012",ARI
2012,"Wednesday, August 22, 2012",ARI
2012,"Thursday, August 23, 2012",ARI
2012,"Friday, August 24, 2012",ARI
2012,"Saturday, August 25, 2012",ARI
2012,"Sunday, August 26, 2012",ARI
2012,"Monday, August 27, 2012",ARI
2012,"Tuesday, August 28, 2012",ARI
2012,"Wednesday, August 29, 2012",ARI
2012,"Thursday, August 30, 2012",ARI
2012,"Friday, August 31, 2012",ARI
2012,"Saturday, September 01, 2012",ARI
2012,"Sunday, September 02, 2012",ARI
2012,"Monday, September 03, 2012",ARI
2012,"Tuesday, September 04, 2012",ARI
2012,"Wednesday, September 05, 2012",ARI
2012,"Thursday, September 06, 2012",ARI
2012,"Friday, September 07, 2012",ARI
2012,"Saturday, September 08, 2012",ARI
2012,"Sunday, September 09, 2012",ARI
2012,"Monday, September 10, 2012",ARI
2012,"Tuesday, September 11, 2012",ARI
2012,"Wednesday, September 12, 2012",ARI
2012,"Thursday, September 13, 2012",ARI
2012,"Friday, September 14, 2012",ARI
2012,"Saturday, September 15, 2012",ARI
2012,"Sunday, September 16, 2012",ARI
2012,"Monday, September 17, 2012",ARI
2012,"Tuesday, September 18, 2012",ARI
2012,"Wednesday, September 19, 2012",ARI
2012,"Thursday, September 20, 2012",ARI
2012,"Friday, September 21, 2012",ARI
2012,"Saturday, September 22, 2012",ARI
2012,"Sunday, September 23, 2012",ARI
2012,"Monday, September 24, 2012",ARI
2012,"Tuesday, September 25, 2012",ARI
2012,"Wednesday, September 26, 2012",ARI
2012,"Thursday, September 27, 2012",ARI
2012,"Friday, September 28, 2012",ARI
2012,"Saturday, September 29, 2012",ARI
2012,"Sunday, September 30, 2012",ARI
2012,"Monday, October 01, 2012",ARI
2012,"Tuesday, October 02, 2012",ARI
2012,"Wednesday, October 03, 2012",ARI
2012,"Thursday, October 04, 2012",ARI
2012,"Friday, October 05, 2012",ARI
2012,"Saturday, October 06, 2012",ARI
2012,"Sunday, October 07, 2012",ARI
2012,"Monday, October 08, 2012",ARI
