Season,Tm,NumBat,BatAge,PerBat,NumP,PAge,PerP,AvgAge
2008,SEA,44,29.6,0.666666667,22,28.5,0.333333333,29.23333333
2008,SFG,49,29.6,0.710144928,20,27.1,0.289855072,28.87536232
2008,STL,43,28.8,0.641791045,24,30.2,0.358208955,29.30149254
2008,TBR,46,27.2,0.686567164,21,27.5,0.313432836,27.29402985
2008,TEX,55,27.7,0.647058824,30,28.1,0.352941176,27.84117647
2008,TOR,43,30.8,0.693548387,19,28.6,0.306451613,30.12580645
2008,WSN,50,27.8,0.666666667,25,27.3,0.333333333,27.63333333
2007,ARI,47,26.6,0.643835616,26,28.2,0.356164384,27.16986301
2007,ATL,50,27.6,0.641025641,28,29.4,0.358974359,28.24615385
2007,BAL,49,30.4,0.644736842,27,29,0.355263158,29.90263158
2007,BOS,40,30.2,0.666666667,20,31.1,0.333333333,30.5
2007,CHC,47,29.3,0.68115942,22,28.4,0.31884058,29.01304348
2007,CHW,43,29.5,0.671875,21,27.7,0.328125,28.909375
2007,CIN,51,29.7,0.671052632,25,29.1,0.328947368,29.50263158
2007,CLE,41,28.1,0.661290323,21,29.4,0.338709677,28.54032258
2007,COL,53,27.9,0.638554217,30,28.1,0.361445783,27.97228916
2007,DET,44,30.8,0.637681159,25,28.5,0.362318841,29.96666667
2007,MIA,50,26.7,0.625,30,26.2,0.375,26.5125
2007,HOU,41,31.4,0.661290323,21,30.2,0.338709677,30.99354839
2007,KCR,45,27.9,0.661764706,23,27.1,0.338235294,27.62941176
2007,LAA,42,28.6,0.7,18,28.4,0.3,28.54
2007,LAD,45,29.7,0.671641791,22,31.1,0.328358209,30.15970149
2007,MIL,40,27.8,0.655737705,21,29.1,0.344262295,28.24754098
2007,MIN,42,28.4,0.68852459,19,27.4,0.31147541,28.08852459
2007,NYM,49,30.8,0.671232877,24,31.3,0.328767123,30.96438356
2007,NYY,49,30.7,0.636363636,28,31.4,0.363636364,30.95454545
2007,OAK,54,28.9,0.692307692,24,26.9,0.307692308,28.28461538
2007,PHI,46,28.8,0.621621622,28,30.6,0.378378378,29.48108108
2007,PIT,46,27.2,0.647887324,25,27.1,0.352112676,27.16478873
2007,SDP,49,29.9,0.7,21,31.5,0.3,30.38
2007,SEA,44,29.7,0.656716418,23,28.1,0.343283582,29.15074627
2007,SFG,44,32.6,0.666666667,22,27.3,0.333333333,30.83333333
2007,STL,45,30.3,0.642857143,25,29.6,0.357142857,30.05
2007,TBR,45,26.1,0.652173913,24,26.9,0.347826087,26.37826087
2007,TEX,50,29.3,0.666666667,25,27.7,0.333333333,28.76666667
2007,TOR,46,30.2,0.666666667,23,27.3,0.333333333,29.23333333
2007,WSN,47,27.9,0.643835616,26,27.5,0.356164384,27.75753425
2006,ARI,45,29.6,0.642857143,25,28.8,0.357142857,29.31428571
2006,ATL,45,27.4,0.633802817,26,29.4,0.366197183,28.13239437
2006,BAL,46,30.3,0.657142857,24,27.9,0.342857143,29.47714286
2006,BOS,53,30.5,0.654320988,28,31.1,0.345679012,30.70740741
2006,CHC,46,28.6,0.666666667,23,28,0.333333333,28.4
2006,CHW,37,29.5,0.672727273,18,27.9,0.327272727,28.97636364
2006,CIN,54,29.6,0.65060241,29,29.5,0.34939759,29.56506024
2006,CLE,45,27.8,0.661764706,23,28.6,0.338235294,28.07058824
