Season,Team,Mgr,Yrs,Prior Seasons Managed,From,To,W,L,W-L%,G>.500,G,Wpost,Lpost,W-L%post,BestFin,WrstFin,AvRk,Plyof App,Prior Playoff,Playoffs,WSwon,PennWon,ASG,playoff per season,career playoffs per season
2008,NYM,Jerry Manuel,9,6,1998,2010,704,684,0.507,20,1390,0,3,0,1,4,2.5,1,1,N,0,0,0,0.166666667,0.111111111
2007,NYM,Willie Randolph,4,2,2005,2008,302,253,0.544,49,555,6,4,0.6,1,3,2.1,1,1,N,0,0,0,0.5,0.25
2006,NYM,Willie Randolph,4,1,2005,2008,302,253,0.544,49,555,6,4,0.6,1,3,2.1,1,0,Y,0,0,0,0,0.25
2005,NYM,Willie Randolph,4,0,2005,2008,302,253,0.544,49,555,6,4,0.6,1,3,2.1,1,0,N,0,0,0,0,0.25
2004,NYM,Art Howe,14,13,1989,2004,1129,1137,0.498,-8,2266,6,9,0.4,1,6,3.4,3,3,N,0,0,0,0.230769231,0.214285714
2014,NYY,Joe Girardi,8,7,2006,2014,726,570,0.56,156,1296,21,17,0.553,1,4,2.1,4,4,N,1,1,1,0.571428571,0.5
2013,NYY,Joe Girardi,8,6,2006,2014,726,570,0.56,156,1296,21,17,0.553,1,4,2.1,4,4,N,1,1,1,0.666666667,0.5
2012,NYY,Joe Girardi,8,5,2006,2014,726,570,0.56,156,1296,21,17,0.553,1,4,2.1,4,3,Y,1,1,1,0.6,0.5
2011,NYY,Joe Girardi,8,4,2006,2014,726,570,0.56,156,1296,21,17,0.553,1,4,2.1,4,2,Y,1,1,1,0.5,0.5
2010,NYY,Joe Girardi,8,3,2006,2014,726,570,0.56,156,1296,21,17,0.553,1,4,2.1,4,1,Y,1,1,1,0.333333333,0.5
2009,NYY,Joe Girardi,8,2,2006,2014,726,570,0.56,156,1296,21,17,0.553,1,4,2.1,4,0,Y,1,1,1,0,0.5
2008,NYY,Joe Girardi,8,1,2006,2014,726,570,0.56,156,1296,21,17,0.553,1,4,2.1,4,0,N,1,1,1,0,0.5
2007,NYY,Joe Torre HOF,29,25,1977,2010,2326,1997,0.538,329,4329,84,58,0.592,1,6,2.4,15,12,Y,4,6,6,0.48,0.517241379
2006,NYY,Joe Torre HOF,29,24,1977,2010,2326,1997,0.538,329,4329,84,58,0.592,1,6,2.4,15,11,Y,4,6,6,0.458333333,0.517241379
2005,NYY,Joe Torre HOF,29,23,1977,2010,2326,1997,0.538,329,4329,84,58,0.592,1,6,2.4,15,10,Y,4,6,6,0.434782609,0.517241379
2004,NYY,Joe Torre HOF,29,22,1977,2010,2326,1997,0.538,329,4329,84,58,0.592,1,6,2.4,15,9,Y,4,6,6,0.409090909,0.517241379
2014,OAK,Bob Melvin,11,10,2003,2014,818,768,0.516,50,1586,7,11,0.389,1,4,2.2,4,3,Y,0,0,0,0.3,0.363636364
2013,OAK,Bob Melvin,11,9,2003,2014,818,768,0.516,50,1586,7,11,0.389,1,4,2.2,4,2,Y,0,0,0,0.222222222,0.363636364
2012,OAK,Bob Melvin,11,8,2003,2014,818,768,0.516,50,1586,7,11,0.389,1,4,2.2,4,1,Y,0,0,0,0.125,0.363636364
2011,OAK,Bob Melvin,11,7,2003,2014,818,768,0.516,50,1586,7,11,0.389,1,4,2.2,4,1,N,0,0,0,0.142857143,0.363636364
